HOVEDSKOLE_INST;INST_NR;INST_NAVN;ENHEDSART;INST_ADR;POSTNR;POSTDISTRIKT;TLF_NR;E_MAIL;WEB_ADR;INST_TYPE_NR;INST_TYPE_NAVN;INST_TYPE_GRUPPE;UNDERV_NIV;INST_LEDER;CVR_NR;KOMMUNE_NR;ADM_KOMMUNE_NAVN;BEL_KOMMUNE;BEL_KOMMUNE_NAVN;BEL_REGION;REGION_NAVN;EJER_KODE;EJERKODE_NAVN
;101000;Københavns Kommune;Institution uden enheder;Rådhuset, Rådhuspladsen 1;1599;København V;3366 3366;borgerservice@kk.dk;www.kk.dk;2013;Kommuner pr. 1/1-2007;Regioner og kommuner ;;;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101001;Den Classenske Legatskole;Institution uden enheder;Vester Voldgade 98;1552;København V;3311 3109;mail@dcl.kk.dk;www.dcl.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Lone Laursen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101003;Nyboder Skole;Institution uden enheder;Øster Voldgade 15;1350;København K;3366 4950;mail@nyboderskole.kk.dk;www.nyboderskole.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Anders Mikkelsen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101005;Sølvgades Skole;Institution uden enheder;Sølvgade 16;1307;København K;3315 1476;mail@soel.kk.dk;www.soel.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Kim Stenholm Paulsen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101007;Nørrebro Park Skole;Institution uden enheder;Jagtvej 34;2200;København N;3539 8310;mail@nps.kk.dk;www.nps.kk.dk;1012;Folkeskoler;Grundskoler mv. ;7;Conni Mortensen, konst.;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101008;Blågård Skole;Institution uden enheder;Hans Tavsens Gade 4;2200;København N;3877 3434;mail@blg.kk.dk;www.blg.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Pia Madsen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101011;Bellahøj Skole;Institution uden enheder;Svenskelejren 18;2700;Brønshøj;3826 2300;mail@bellahoej.kk.dk;www.bellahoej.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Lise Velin;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101012;Brønshøj Skole;Institution uden enheder;Klintholmvej 5;2700;Brønshøj;3366 4868;mail@brh.kk.dk;www.brh.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Camilla Ottsen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101015;Grøndalsvængets Skole;Institution uden enheder;Rørsangervej 29;2400;København NV;3834 9350;mail@gvs.kk.dk;www.gvs.kk.dk;1012;Folkeskoler;Grundskoler mv. ;10;Thomas Horn;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101017;Husum Skole;Institution uden enheder;Karlslundevej 23;2700;Brønshøj;3828 0768;mail@husumskole.kk.dk;www.husumskole.kk.dk;1012;Folkeskoler;Grundskoler mv. ;10;Annette Samsøe Jensen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101018;Hyltebjerg Skole;Institution uden enheder;Hanstholmvej 10;2720;Vanløse;3871 4262;mail@hyltebjergskole.kk.dk;www.hyltebjergskole.kk.dk/;1012;Folkeskoler;Grundskoler mv. ;10;Kenneth Christoffersen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101019;Katrinedals Skole;Institution uden enheder;Vanløse Allé 44;2720;Vanløse;3874 1742;mail@katrinedal.kk.dk;www.katrinedal.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Karen Leth;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101020;Kirkebjerg Skole;Institution uden enheder;Vanløsehøj 4;2720;Vanløse;3877 0090;mail@kirkebjergskole.kk.dk;www.kirkebjergskole.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Søren Cloos;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101021;Korsager Skole;Institution uden enheder;Grevingevej 15;2700;Brønshøj;3317 3970;mail@korsager.kk.dk;www.korsager.kk.dk;1012;Folkeskoler;Grundskoler mv. ;10;Peter Aksten;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101022;Rødkilde Skole;Institution uden enheder;Godthåbsvej 274;2720;Vanløse;3887 2280;mail@roed.kk.dk;www.roed.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Anders Busk;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101023;Tingbjerg Heldagsskole;Institution uden enheder;Skolesiden 2;2700;Brønshøj;3860 2147;mail@tingbjergskole.kk.dk;www.tingbjergskole.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Joy Frimann Hansen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101024;Vanløse Skole;Institution uden enheder;Ålekistevej 121;2720;Vanløse;3871 1095;mail@van.kk.dk;www.van.kk.dk;1012;Folkeskoler;Grundskoler mv. ;10;Pia Mikkelsen Dalsgaard;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101029;Tagensbo Skole;Institution uden enheder;Magistervej 4;2400;København NV;8256 5580;mail@tgb.kk.dk;www.tgb.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Jeanne Jacobsen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101030;Holbergskolen;Institution uden enheder;Frederiksborgvej 216;2400;København NV;3969 2816;kontor@holbergskolen.kk.dk;www.holbergskolen.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Sune Schnack Rasmussen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101034;Rådmandsgades Skole;Institution uden enheder;Rådmandsgade 22;2200;København N;3366 4020;mail@raadmandsgadesskole.kk.dk;www.raadmandsgadesskole.kk.dk;1012;Folkeskoler;Grundskoler mv. ;7;Lene Lunden Rønje;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101035;Guldberg Skole;Institution uden enheder;Sjællandsgade 10;2200;København N;3366 4747;mail@guldbergskole.kk.dk;www.guldbergskole.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Morten Falgaard Nielsen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101039;Randersgades Skole;Institution uden enheder;Randersgade 38;2100;København Ø;3538 0874;mail@rg.kk.dk;www.rg.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Mette Molander Eriksen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101041;Strandvejsskolen;Institution uden enheder;Sionsgade 1;2100;København Ø;3366 7900;mail@strandvejsskolen.kk.dk;www.strandvejsskolen.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Lisbeth Hammelev;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101042;Vibenshus Skole;Institution uden enheder;Kertemindegade 10;2100;København Ø;3542 0875;mail@vi.kk.dk;www.vi.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Christian Munch Thorsen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101043;Øster Farimagsgades Skole;Institution uden enheder;Øster Farimagsgade 40;2100;København Ø;3366 3900;mail@oef.kk.dk;www.oef.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Axel Bech;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101045;Nørre Fælled Skole;Institution uden enheder;Biskop Krags Vænge 7;2100;København Ø;3918 0380;mail@nfs.kk.dk;www.nfs.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Morten Østergaard Jensen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101047;Christianshavns Skole;Institution uden enheder;Prinsessegade 45;1422;København K;3257 5104;mail@chr.kk.dk;www.chr.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Anni Green Sandhagen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101049;Dyvekeskolen;Institution uden enheder;Remisevej 16;2300;København S;3255 8807;mail@dyveke.kk.dk;www.dyveke.kk.dk;1012;Folkeskoler;Grundskoler mv. ;10;Lisbeth Palm Olesen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101050;Sønderbro Skole;Institution uden enheder;Lybækgade 20;2300;København S;3258 3263;mail@soenderbroskole.kk.dk;www.soenderbroskole.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Erdogan Adanir;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101051;Gerbrandskolen;Institution uden enheder;Gerbrandsvej 9;2300;København S;3255 7336;mail@gerbrandskolen.kk.dk;www.gerbrandskolen.kk.dk;1012;Folkeskoler;Grundskoler mv. ;6;Jesper Larsen;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101052;Højdevangens Skole;Institution uden enheder;Grønløkkevej 1;2300;København S;3317 3518;mail@hvs.kk.dk;www.hvs.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Gertrud Kristine Petersson;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101053;Skolen ved Sundet;Institution uden enheder;Samosvej 50;2300;København S;3255 1508;mail@svs.kk.dk;www.svs.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Niels Hannibal;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101055;Sundbyøster Skole;Institution uden enheder;Smyrnavej 5;2300;København S;3366 5130;mail@sundbyoesterskole.kk.dk;www.sundbyoesterskole.kk.dk;1012;Folkeskoler;Grundskoler mv. ;9;Steen Højstrøm;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101058;Lergravsparkens Skole;Institution uden enheder;Østrigsgade 14;2300;København S;3259 0436;mail@lps.kk.dk;www.lps.kk.dk;1012;Folkeskoler;Grundskoler mv. ;10;Torben Vorstrup;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101059;Skolen på Islands Brygge;Institution uden enheder;Artillerivej 57;2300;København S;8233 4300;mail@sib.kk.dk;www.sib.kk.dk;1012;Folkeskoler;Grundskoler mv. ;7;Aase Hammer;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
;101060;Peder Lykke Skolen;Institution uden enheder;Brydes Allé 25;2300;København S;3259 6950;mail@pederlykkeskolen.kk.dk;www.pederlykkeskolen.kk.dk;1012;Folkeskoler;Grundskoler mv. ;10;Lennart Kjellerup;64942212;101;Københavns Kommune;101;Københavns Kommune;1084;Region Hovedstaden;2;Kommunale
